,global,global,global,all_minimizations,all_minimizations,all_minimizations,all_minimizations,only_complete_minimization,only_complete_minimization,only_complete_minimization,only_complete_minimization,no_absorbed_removal,no_absorbed_removal,no_absorbed_removal,no_absorbed_removal,ascending_heuristic,ascending_heuristic,ascending_heuristic,ascending_heuristic,descending_heuristic,descending_heuristic,descending_heuristic,descending_heuristic,lace_1_thread,lace_1_thread,lace_1_thread,lace_1_thread,lace_7_threads,lace_7_threads,lace_7_threads,lace_7_threads
,size,vars,aux_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars
dataset/Handmade/LatinSquare/qg1-07.dc.min,1437,425,82,12732965,1480,1833,343,11746463,620,1437,343,20055808.0,52493343.0,52493343.0,343.0,25491411,650,1561,343,11678514,1189,1644,343,12602482,1480,1833,343,13536265,1480,1833,343
dataset/Handmade/LatinSquare/qg2-07.dc.min,2845,477,134,126832674,3975,4142,343,350786521,2672,2913,343,,,,,553483235,2755,4062,343,162896234,2653,4348,343,121060812,3975,4142,343,122969116,3975,4142,343
dataset/Handmade/ais/ais10.dc.min,39917,3504,3323,3600820405,49827,59681,1523,3600474507,42614,43885,715,3636398913.0,353841857.0,353841857.0,1477.0,3600187256,121737,121737,3497,3600987760,56910,56910,3438,3600874380,50016,59681,1523,3601103017,49721,59681,1523
dataset/Handmade/ais/ais6.dc.min,1497,261,200,15310782,2506,2506,61,23740163,2118,2118,61,,,,,68608558,2478,2748,61,25410699,2339,2734,61,15026129,2506,2506,61,15485884,2506,2506,61
dataset/Handmade/ais/ais8.dc.min,4439,542,429,3600035916,131589,131589,123,3600446876,36427,36427,127,4152387929.0,3464044916.0,3464044916.0,194.0,3600057786,48660,48660,360,3600012617,43803,43803,311,3600045953,131589,131589,123,3600029143,131589,131589,123
dataset/Handmade/parity/par16-1-c.dc.min,327,327,10,47329,327,327,317,28150,327,327,317,23986.0,327.0,327.0,317.0,51447,327,327,317,49352,327,327,317,5756,327,327,317,55594,327,327,317
dataset/Handmade/parity/par16-2-c.dc.min,375,375,26,54337,375,375,349,45456,375,375,349,56621.0,375.0,375.0,349.0,32598,375,375,349,49925,375,375,349,7584,375,375,349,78146,375,375,349
dataset/Handmade/parity/par16-3-c.dc.min,345,345,11,26850,345,345,334,23165,345,345,334,26415.0,345.0,345.0,334.0,48744,345,345,334,24544,345,345,334,8169,345,345,334,65761,345,345,334
dataset/Handmade/parity/par16-4-c.dc.min,331,331,7,36586,331,331,324,48394,331,331,324,31639.0,331.0,331.0,324.0,24983,331,331,324,28884,331,331,324,5310,331,331,324,75859,331,331,324
dataset/Handmade/parity/par16-5-c.dc.min,356,356,15,44294,356,356,341,32212,356,356,341,43612.0,356.0,356.0,341.0,32262,356,356,341,26090,356,356,341,7551,356,356,341,72208,356,356,341
dataset/Handmade/parity/par8-1-c.dc.min,68,68,4,10411,68,68,64,8659,68,68,64,6396.0,68.0,68.0,64.0,10246,68,68,64,9262,68,68,64,1871,68,68,64,8320,68,68,64
dataset/Handmade/parity/par8-1.dc.min,363,363,13,37477,363,363,350,53007,363,363,350,47302.0,363.0,363.0,350.0,30607,363,363,350,45817,363,363,350,29409,363,363,350,65595,363,363,350
dataset/Handmade/parity/par8-2-c.dc.min,72,72,4,10203,72,72,68,6374,72,72,68,6291.0,72.0,72.0,68.0,9110,72,72,68,9582,72,72,68,2060,72,72,68,11632,72,72,68
dataset/Handmade/parity/par8-2.dc.min,355,355,5,49305,355,355,350,37043,355,355,350,40608.0,355.0,355.0,350.0,30801,355,355,350,51694,355,355,350,5759,355,355,350,67316,355,355,350
